,0,1
Newark Liberty International Airport,40.6895354,-74.1766511
John F. Kennedy International Airport,40.6413153,-73.780327
LaGuardia Airport,40.7769311,-73.8761546
Teterboro Airport,40.8507,-74.0604
Holland Tunnel NJ,40.7288767,-74.0332389
Holland Tunnel NY,40.7262,-74.0115
Lincoln Tunnel NY,40.7611867,-74.0056528
Lincoln Tunnel NJ,40.767361,-74.020661
Port Newark,40.6904455648776,-74.14725337358634
Port Elizabeth,40.67556507203779,-74.15398066049917
Port Jersey and Greenville Yards,40.67119681965079,-74.07374978629467
Brooklyn Piers - Redhook Container Terminal,40.68544360119133,-74.00929539171405
65th Street Intermodal Terminal,40.64286612748238,-74.03017774095771
Howland Hook Marine Terminal,40.637345286285544,-74.18618361613548
Newark Penn and Harrison Stations,40.7393148985097,-74.15834047688615
Harrison Car Equipment Facility,40.738939239040015,-74.13678212844397
Tracks: NJ Turnpike & Passaic River,40.73813317267604,-74.11492499661831
Tracks: Hackensack River West,40.73876686519661,-74.09453382263837
Tracks: Hackensack River East,40.73825919404139,-74.0744008941495
Grove St Exchange Place & Newport Stations,40.722140786726946,-74.037003279267
Hoboken and Caisson 1 Vent Building,40.73505312572795,-74.03008512166838
Morton Street Ventilation Shaft,40.7322970762522,-74.01100843753662
